sample_offset_s,node,seq,node_us,sync_us,rx_us,yaw_cd,pitch_cd,roll_cd,x_mm,y_mm,z_mm,gaps
0.000834,2,134,285038000,300868000,300878000,442,-382,422,326,58,-454,0
0.010443,1,98,295087000,300875000,300887000,1774,446,766,478,526,-62,0
0.011084,2,135,285048000,300877000,300888000,405,-405,405,315,45,-435,0
0.020786,1,99,295097000,300886000,300897000,1737,423,783,489,513,-81,0
0.021347,2,136,285058000,300887000,300899000,368,-428,388,304,32,-416,0
0.030800,1,100,295108000,300897000,300907000,1700,400,800,500,500,-100,0
0.031363,2,137,285068000,300897000,300909000,331,-451,371,293,19,-397,0
0.040890,1,101,295118000,300907000,300917000,1663,377,817,511,487,-119,0
0.041479,2,138,285079000,300909000,300919000,294,-474,354,282,6,-378,0
0.051092,1,102,295128000,300917000,300927000,1626,354,834,522,474,-138,0
0.051759,2,139,285089000,300919000,300929000,257,-497,337,271,-7,-359,0
0.061332,1,103,295138000,300927000,300937000,1589,331,851,533,461,-157,0
0.061957,2,140,285099000,300929000,300939000,220,-520,320,260,-20,-340,0
0.071237,1,104,295148000,300936000,300947000,1552,308,868,544,448,-176,0
0.071951,2,141,285109000,300939000,300949000,183,-543,303,249,-33,-321,0
0.081073,1,105,295158000,300946000,300958000,1515,285,885,555,435,-195,0
0.081668,2,142,285119000,300948000,300959000,146,-566,286,238,-46,-302,0
0.091636,1,106,295168000,300956000,300968000,1478,262,898,566,422,-214,0
0.092234,2,143,285129000,300958000,300969000,109,-589,269,227,-59,-283,0
0.101773,1,107,295179000,300968000,300978000,1441,239,881,577,409,-233,0
0.102363,2,144,285139000,300968000,300980000,72,-612,252,216,-72,-264,0
0.111889,1,108,295189000,300978000,300988000,1404,216,864,588,396,-252,0
0.112455,2,145,285150000,300979000,300990000,35,-635,235,205,-85,-245,0
0.120816,1,109,295199000,300988000,300998000,1367,193,847,599,383,-271,0
0.123070,2,146,285160000,300990000,301000000,-2,-658,218,194,-98,-226,0
0.130991,1,110,295209000,300998000,301008000,1330,170,830,590,370,-290,0
0.133271,2,147,285170000,300999000,301011000,-39,-681,201,183,-111,-207,0
0.140987,1,111,295219000,301008000,301018000,1293,147,813,579,357,-309,0
0.143376,2,148,285180000,301009000,301021000,-76,-704,184,172,-124,-188,0
0.151157,1,112,295229000,301017000,301028000,1256,124,796,568,344,-328,0
0.153526,2,149,285191000,301021000,301031000,-113,-727,167,161,-137,-169,0
0.161311,1,113,295239000,301027000,301039000,1219,101,779,557,331,-347,0
0.163659,2,150,285201000,301031000,301041000,-150,-750,150,150,-150,-150,0
0.171321,1,114,295249000,301037000,301049000,1182,78,762,546,318,-366,0
0.173860,2,151,285211000,301041000,301051000,-187,-773,133,139,-163,-131,0
0.181529,1,115,295260000,301049000,301059000,1145,55,745,535,305,-385,0
0.184088,2,152,285221000,301051000,301061000,-224,-796,116,128,-176,-112,0
0.191563,1,116,295270000,301059000,301069000,1108,32,728,524,292,-404,0
0.194137,2,153,285231000,301060000,301071000,-261,-819,99,117,-189,-93,0
0.201707,1,117,295280000,301069000,301079000,1071,9,711,513,279,-423,0
0.204301,2,154,285241000,301070000,301081000,-298,-842,82,106,-202,-74,0
0.211891,1,118,295290000,301079000,301089000,1034,-14,694,502,266,-442,0
0.214370,2,155,285251000,301080000,301092000,-335,-865,65,95,-215,-55,0
0.222112,1,119,295300000,301088000,301099000,997,-37,677,491,253,-461,0
0.224430,2,156,285262000,301091000,301102000,-372,-888,48,84,-228,-36,0
0.232117,1,120,295310000,301098000,301110000,960,-60,660,480,240,-480,0
0.234559,2,157,285272000,301102000,301112000,-409,-889,31,73,-241,-17,0
0.242374,1,121,295320000,301108000,301120000,923,-83,643,469,227,-499,0
0.244561,2,158,285282000,301112000,301122000,-446,-866,14,62,-254,2,0
0.254338,1,122,295331000,301120000,301130000,886,-106,626,458,214,-518,0
0.254951,2,159,285292000,301122000,301132000,-483,-843,-3,51,-267,21,0
0.264430,1,123,295341000,301129000,301141000,849,-129,609,447,201,-537,0
0.265066,2,160,285302000,301132000,301142000,-520,-820,-20,40,-280,40,0
0.274593,1,124,295351000,301139000,301151000,812,-152,592,436,188,-556,0
0.275208,2,161,285312000,301141000,301152000,-557,-797,-37,29,-293,59,0
0.284753,1,125,295361000,301150000,301161000,775,-175,575,425,175,-575,0
0.285344,2,162,285322000,301151000,301163000,-594,-774,-54,18,-306,78,0
0.294829,1,126,295372000,301161000,301171000,738,-198,558,414,162,-594,0
0.295564,2,163,285332000,301161000,301173000,-631,-751,-71,7,-319,97,0
0.305116,1,127,295382000,301171000,301181000,701,-221,541,403,149,-587,0
0.305936,2,164,285343000,301173000,301183000,-668,-728,-88,-4,-332,116,0
0.315042,1,128,295392000,301181000,301191000,664,-244,524,392,136,-568,0
0.315644,2,165,285353000,301183000,301193000,-705,-705,-105,-15,-345,135,0
0.325270,1,129,295402000,301191000,301201000,627,-267,507,381,123,-549,0
0.325970,2,166,285363000,301193000,301203000,-742,-682,-122,-26,-358,154,0
0.335447,1,130,295412000,301200000,301211000,590,-290,490,370,110,-530,0
0.336030,2,167,285373000,301203000,301213000,-779,-659,-139,-37,-371,173,0
0.345597,1,131,295422000,301210000,301222000,553,-313,473,359,97,-511,0
0.346250,2,168,285383000,301212000,301223000,-816,-636,-156,-48,-384,192,0
0.355525,1,132,295432000,301220000,301232000,516,-336,456,348,84,-492,0
0.356217,2,169,285393000,301222000,301233000,-853,-613,-173,-59,-397,211,0
0.365795,1,133,295443000,301232000,301242000,479,-359,439,337,71,-473,0
0.366505,2,170,285403000,301232000,301244000,-890,-590,-190,-70,-410,230,0
0.374509,1,134,295453000,301242000,301252000,442,-382,422,326,58,-454,0
0.377027,2,171,285414000,301243000,301254000,-927,-567,-207,-81,-423,249,0
0.386587,1,135,295463000,301252000,301262000,405,-405,405,315,45,-435,0
0.387611,2,172,285424000,301253000,301264000,-964,-544,-224,-92,-436,268,0
0.394975,1,136,295473000,301262000,301272000,368,-428,388,304,32,-416,0
0.397247,2,173,285434000,301263000,301275000,-1001,-521,-241,-103,-449,287,0
0.405164,1,137,295483000,301272000,301282000,331,-451,371,293,19,-397,0
0.407383,2,174,285445000,301274000,301285000,-1038,-498,-258,-114,-462,306,0
0.415216,1,138,295493000,301281000,301292000,294,-474,354,282,6,-378,0
0.417561,2,175,285455000,301285000,301295000,-1075,-475,-275,-125,-475,325,0
0.425326,1,139,295503000,301291000,301303000,257,-497,337,271,-7,-359,0
0.427598,2,176,285465000,301295000,301305000,-1112,-452,-292,-136,-488,344,0
0.435405,1,140,295513000,301301000,301313000,220,-520,320,260,-20,-340,0
0.437867,2,177,285475000,301305000,301315000,-1149,-429,-309,-147,-501,363,0
0.445561,1,141,295524000,301313000,301323000,183,-543,303,249,-33,-321,0
0.447908,2,178,285485000,301315000,301325000,-1186,-406,-326,-158,-514,382,0
0.455571,1,142,295534000,301323000,301333000,146,-566,286,238,-46,-302,0
0.458030,2,179,285495000,301324000,301335000,-1223,-383,-343,-169,-527,401,0
0.465889,1,143,295544000,301333000,301343000,109,-589,269,227,-59,-283,0
0.468198,2,180,285505000,301334000,301345000,-1260,-360,-360,-180,-540,420,0
0.475990,1,144,295554000,301343000,301353000,72,-612,252,216,-72,-264,0
0.478384,2,181,285515000,301344000,301356000,-1297,-337,-377,-191,-553,439,0
0.486149,1,145,295564000,301352000,301363000,35,-635,235,205,-85,-245,0
0.488498,2,182,285526000,301355000,301366000,-1334,-314,-394,-202,-566,458,0
0.496228,1,146,295574000,301362000,301374000,-2,-658,218,194,-98,-226,0
0.498560,2,183,285536000,301366000,301376000,-1371,-291,-411,-213,-579,477,0
0.508187,1,147,295585000,301373000,301384000,-39,-681,201,183,-111,-207,0
0.508811,2,184,285546000,301376000,301386000,-1408,-268,-428,-224,-592,496,0
0.518306,1,148,295595000,301384000,301394000,-76,-704,184,172,-124,-188,0
0.518957,2,185,285556000,301386000,301396000,-1445,-245,-445,-235,-595,515,0
0.528041,1,149,295605000,301393000,301404000,-113,-727,167,161,-137,-169,0
0.528625,2,186,285566000,301395000,301406000,-1482,-222,-462,-246,-582,534,0
0.538485,1,150,295615000,301403000,301415000,-150,-750,150,150,-150,-150,0
0.539133,2,187,285576000,301405000,301416000,-1519,-199,-479,-257,-569,553,0
0.548827,1,151,295625000,301413000,301425000,-187,-773,133,139,-163,-131,0
