sample_offset_s,node,seq,node_us,sync_us,rx_us,yaw_cd,pitch_cd,roll_cd,x_mm,y_mm,z_mm,gaps
0.002283,2,194,363638000,379465000,379476000,-1778,-38,-598,-334,-478,514,0
0.010017,1,158,373687000,379474000,379484000,-446,-866,14,62,-254,2,0
0.012444,2,195,363648000,379475000,379486000,-1785,-15,-615,-345,-465,495,0
0.020157,1,159,373697000,379484000,379494000,-483,-843,-3,51,-267,21,0
0.022517,2,196,363658000,379485000,379496000,-1748,8,-632,-356,-452,476,0
0.030304,1,160,373707000,379493000,379504000,-520,-820,-20,40,-280,40,0
0.032537,2,197,363669000,379496000,379506000,-1711,31,-649,-367,-439,457,0
0.040459,1,161,373717000,379503000,379514000,-557,-797,-37,29,-293,59,0
0.042875,2,198,363679000,379506000,379517000,-1674,54,-666,-378,-426,438,0
0.050625,1,162,373727000,379513000,379524000,-594,-774,-54,18,-306,78,0
0.052995,2,199,363689000,379516000,379527000,-1637,77,-683,-389,-413,419,0
0.060718,1,163,373738000,379524000,379534000,-631,-751,-71,7,-319,97,0
0.063262,2,200,363699000,379527000,379537000,-1600,100,-700,-400,-400,400,0
0.071023,1,164,373748000,379534000,379545000,-668,-728,-88,-4,-332,116,0
0.073308,2,201,363709000,379536000,379547000,-1563,123,-717,-411,-387,381,0
0.081038,1,165,373758000,379544000,379555000,-705,-705,-105,-15,-345,135,0
0.083375,2,202,363719000,379546000,379557000,-1526,146,-734,-422,-374,362,0
0.091058,1,166,373768000,379555000,379565000,-742,-682,-122,-26,-358,154,0
0.093498,2,203,363729000,379556000,379567000,-1489,169,-751,-433,-361,343,0
0.103123,1,167,373779000,379566000,379576000,-779,-659,-139,-37,-371,173,0
0.104169,2,204,363740000,379567000,379577000,-1452,192,-768,-444,-348,324,0
0.113100,1,168,373789000,379575000,379586000,-816,-636,-156,-48,-384,192,0
0.113725,2,205,363750000,379577000,379587000,-1415,215,-785,-455,-335,305,0
0.123436,1,169,373799000,379586000,379596000,-853,-613,-173,-59,-397,211,0
0.124100,2,206,363760000,379587000,379598000,-1378,238,-802,-466,-322,286,0
0.133289,1,170,373809000,379596000,379606000,-890,-590,-190,-70,-410,230,0
0.133953,2,207,363770000,379597000,379608000,-1341,261,-819,-477,-309,267,0
0.143605,1,171,373819000,379605000,379616000,-927,-567,-207,-81,-423,249,0
0.144254,2,208,363780000,379608000,379618000,-1304,284,-836,-488,-296,248,0
0.153731,1,172,373829000,379615000,379626000,-964,-544,-224,-92,-436,268,0
0.154347,2,209,363790000,379617000,379628000,-1267,307,-853,-499,-283,229,0
0.163946,1,173,373839000,379625000,379636000,-1001,-521,-241,-103,-449,287,0
0.164534,2,210,363800000,379627000,379638000,-1230,330,-870,-510,-270,210,0
0.173770,1,174,373850000,379636000,379647000,-1038,-498,-258,-114,-462,306,0
0.174428,2,211,363810000,379637000,379648000,-1193,353,-887,-521,-257,191,0
0.184110,1,175,373860000,379646000,379657000,-1075,-475,-275,-125,-475,325,0
