sample_offset_s,node,seq,node_us,sync_us,rx_us,yaw_cd,pitch_cd,roll_cd,x_mm,y_mm,z_mm,gaps
0.005802,1,38,31843000,32809000,32816000,-394,-26,-254,-182,-106,122,0
0.010140,2,123,30096000,32816000,32820000,849,-129,609,447,201,-537,0
0.015873,1,39,31854000,32820000,32826000,-357,-3,-237,-171,-93,141,0
0.020153,2,124,30106000,32825000,32830000,812,-152,592,436,188,-556,0
0.026104,1,40,31864000,32830000,32836000,-320,20,-220,-160,-80,160,0
0.030370,2,125,30116000,32835000,32841000,775,-175,575,425,175,-575,0
0.036164,1,41,31874000,32840000,32846000,-283,43,-203,-149,-67,179,0
0.040440,2,126,30126000,32845000,32851000,738,-198,558,414,162,-594,0
0.046207,1,42,31884000,32851000,32856000,-246,66,-186,-138,-54,198,0
0.050726,2,127,30136000,32855000,32861000,701,-221,541,403,149,-587,0
0.056363,1,43,31894000,32861000,32867000,-209,89,-169,-127,-41,217,0
0.060843,2,128,30147000,32866000,32871000,664,-244,524,392,136,-568,0
0.066520,1,44,31904000,32870000,32877000,-172,112,-152,-116,-28,236,0
0.071075,2,129,30157000,32877000,32881000,627,-267,507,381,123,-549,0
0.076662,1,45,31914000,32880000,32887000,-135,135,-135,-105,-15,255,0
0.080961,2,130,30167000,32887000,32891000,590,-290,490,370,110,-530,0
0.086798,1,46,31924000,32890000,32897000,-98,158,-118,-94,-2,274,0
0.091163,2,131,30177000,32897000,32901000,553,-313,473,359,97,-511,0
0.096877,1,47,31935000,32901000,32907000,-61,181,-101,-83,11,293,0
0.101430,2,132,30187000,32906000,32911000,516,-336,456,348,84,-492,0
0.106960,1,48,31945000,32911000,32917000,-24,204,-84,-72,24,312,0
0.111319,2,133,30197000,32916000,32922000,479,-359,439,337,71,-473,0
0.117090,1,49,31955000,32921000,32927000,13,227,-67,-61,37,331,0
0.122111,2,134,30208000,32927000,32932000,442,-382,422,326,58,-454,0
0.127268,1,50,31965000,32932000,32937000,50,250,-50,-50,50,350,0
0.132328,2,135,30218000,32936000,32942000,405,-405,405,315,45,-435,0
0.137286,1,51,31975000,32941000,32948000,87,273,-33,-39,63,369,0
0.142369,2,136,30228000,32946000,32953000,368,-428,388,304,32,-416,0
0.147613,1,52,31985000,32951000,32958000,124,296,-16,-28,76,388,0
