sample_offset_s,node,seq,node_us,sync_us,rx_us,yaw_cd,pitch_cd,roll_cd,x_mm,y_mm,z_mm,gaps
0.000755,1,25,8387000,10864000,10876000,-875,-325,-475,-325,-275,-125,0
0.010019,2,216,5124000,10873000,10885000,-1008,468,-828,-576,-192,96,0
0.010667,1,26,8397000,10874000,10886000,-838,-302,-458,-314,-262,-106,0
0.020277,2,217,5135000,10884000,10895000,-971,491,-811,-587,-179,77,0
0.020951,1,27,8407000,10884000,10896000,-801,-279,-441,-303,-249,-87,0
0.030574,2,218,5145000,10895000,10905000,-934,514,-794,-598,-166,58,0
0.031291,1,28,8417000,10894000,10906000,-764,-256,-424,-292,-236,-68,0
0.040610,1,29,8428000,10905000,10915000,-727,-233,-407,-281,-223,-49,0
0.041467,2,219,5155000,10905000,10916000,-897,537,-777,-591,-153,39,0
0.050551,1,30,8438000,10915000,10926000,-690,-210,-390,-270,-210,-30,0
0.051265,2,220,5165000,10914000,10926000,-860,560,-760,-580,-140,20,0
0.060987,1,31,8448000,10925000,10936000,-653,-187,-373,-259,-197,-11,0
0.061622,2,221,5176000,10925000,10937000,-823,583,-743,-569,-127,1,0
0.071382,2,222,5186000,10935000,10946000,-786,606,-726,-558,-114,-18,0
0.072052,1,32,8459000,10937000,10947000,-616,-164,-356,-248,-184,8,0
0.081571,2,223,5196000,10946000,10956000,-749,629,-709,-547,-101,-37,0
0.082452,1,33,8469000,10946000,10957000,-579,-141,-339,-237,-171,27,0
0.091578,2,224,5206000,10956000,10966000,-712,652,-692,-536,-88,-56,0
0.092260,1,34,8479000,10956000,10967000,-542,-118,-322,-226,-158,46,0
0.101930,2,225,5216000,10965000,10976000,-675,675,-675,-525,-75,-75,0
0.102543,1,35,8489000,10966000,10977000,-505,-95,-305,-215,-145,65,0
0.111964,2,226,5226000,10975000,10986000,-638,698,-658,-514,-62,-94,0
0.112562,1,36,8499000,10976000,10988000,-468,-72,-288,-204,-132,84,0
0.122096,2,227,5236000,10985000,10997000,-601,721,-641,-503,-49,-113,0
0.122804,1,37,8509000,10986000,10998000,-431,-49,-271,-193,-119,103,0
0.132197,2,228,5247000,10996000,11007000,-564,744,-624,-492,-36,-132,0
0.133173,1,38,8519000,10996000,11008000,-394,-26,-254,-182,-106,122,0
0.142415,2,229,5257000,11007000,11017000,-527,767,-607,-481,-23,-151,0
0.143101,1,39,8529000,11006000,11018000,-357,-3,-237,-171,-93,141,0
0.152433,2,230,5267000,11017000,11027000,-490,790,-590,-470,-10,-170,0
0.153090,1,40,8540000,11017000,11028000,-320,20,-220,-160,-80,160,0
0.162544,2,231,5277000,11027000,11037000,-453,813,-573,-459,3,-189,0
0.163192,1,41,8550000,11027000,11038000,-283,43,-203,-149,-67,179,0
0.172583,2,232,5287000,11037000,11047000,-416,836,-556,-448,16,-208,0
0.173260,1,42,8560000,11037000,11048000,-246,66,-186,-138,-54,198,0
0.182931,2,233,5297000,11046000,11057000,-379,859,-539,-437,29,-227,0
0.183542,1,43,8570000,11047000,11059000,-209,89,-169,-127,-41,217,0
0.193000,2,234,5307000,11056000,11067000,-342,882,-522,-426,42,-246,0
0.193616,1,44,8580000,11057000,11069000,-172,112,-152,-116,-28,236,0
0.203048,2,235,5317000,11066000,11078000,-305,895,-505,-415,55,-265,0
0.203749,1,45,8590000,11068000,11079000,-135,135,-135,-105,-15,255,0
0.213275,2,236,5328000,11077000,11088000,-268,872,-488,-404,68,-284,0
0.213945,1,46,8600000,11077000,11089000,-98,158,-118,-94,-2,274,0
0.223408,2,237,5338000,11088000,11098000,-231,849,-471,-393,81,-303,0
0.224045,1,47,8611000,11088000,11099000,-61,181,-101,-83,11,293,0
0.233593,2,238,5348000,11098000,11108000,-194,826,-454,-382,94,-322,0
0.234279,1,48,8621000,11098000,11109000,-24,204,-84,-72,24,312,0
0.243642,2,239,5358000,11108000,11118000,-157,803,-437,-371,107,-341,0
0.244280,1,49,8631000,11108000,11119000,13,227,-67,-61,37,331,0
0.253670,2,240,5368000,11117000,11128000,-120,780,-420,-360,120,-360,0
0.254309,1,50,8641000,11118000,11129000,50,250,-50,-50,50,350,0
0.263767,2,241,5378000,11127000,11138000,-83,757,-403,-349,133,-379,0
0.264392,1,51,8651000,11128000,11140000,87,273,-33,-39,63,369,0
0.274067,2,242,5388000,11137000,11149000,-46,734,-386,-338,146,-398,0
0.274657,1,52,8661000,11138000,11150000,124,296,-16,-28,76,388,0
0.284182,2,243,5399000,11148000,11159000,-9,711,-369,-327,159,-417,0
0.284809,1,53,8671000,11149000,11160000,161,319,1,-17,89,407,0
0.294412,1,54,8681000,11158000,11169000,198,342,18,-6,102,426,0
0.295091,2,244,5409000,11159000,11170000,28,688,-352,-316,172,-436,0
0.304549,1,55,8692000,11169000,11179000,235,365,35,5,115,445,0
0.305294,2,245,5419000,11169000,11180000,65,665,-335,-305,185,-455,0
0.314940,1,56,8702000,11179000,11190000,272,388,52,16,128,464,0
0.315634,2,246,5429000,11178000,11190000,102,642,-318,-294,198,-474,0
0.325337,2,247,5440000,11189000,11200000,139,619,-301,-283,211,-493,0
0.325980,1,57,8712000,11189000,11201000,309,411,69,27,141,483,0
0.335397,2,248,5450000,11200000,11210000,176,596,-284,-272,224,-512,0
0.336038,1,58,8723000,11199000,11211000,346,434,86,38,154,502,0
0.345375,2,249,5460000,11210000,11220000,213,573,-267,-261,237,-531,0
0.346046,1,59,8733000,11210000,11221000,383,457,103,49,167,521,0
0.355637,2,250,5470000,11220000,11230000,250,550,-250,-250,250,-550,0
0.356267,1,60,8743000,11220000,11231000,420,480,120,60,180,540,0
0.365760,2,251,5480000,11229000,11240000,287,527,-233,-239,263,-569,0
0.366359,1,61,8753000,11230000,11241000,457,503,137,71,193,559,0
0.375814,2,252,5490000,11239000,11250000,324,504,-216,-228,276,-588,0
0.376428,1,62,8763000,11240000,11252000,494,526,154,82,206,578,0
0.386100,2,253,5500000,11249000,11261000,361,481,-199,-217,289,-593,0
0.386733,1,63,8773000,11250000,11262000,531,549,171,93,219,597,0
0.396343,2,254,5511000,11260000,11271000,398,458,-182,-206,302,-574,0
0.396979,1,64,8783000,11261000,11272000,568,572,188,104,232,584,0
0.406308,2,255,5521000,11271000,11281000,435,435,-165,-195,315,-555,0
0.406945,1,65,8793000,11270000,11282000,605,595,205,115,245,565,0
